vton_type,person_outfit,garment_type
full_body,shirt_pant,shirt_pant
full_body,shirt_pant,kurta_shalwar
full_body,kurta_shalwar,shirt_pant
full_body,kurta_shalwar,kurta_shalwar
full_body,suit,suit
full_body,suit,shirt_pant
full_body,shirt_pant,suit
full_body,kurta_shalwar,suit
full_body,suit,kurta_shalwar
upper_body,shirt_pant,shirt
upper_body,kurta_shalwar,shirt
upper_body,suit,shirt
upper_body,shirt_pant,jacket
upper_body,shirt_pant,coat
upper_body,kurta_shalwar,jacket
upper_body,kurta_shalwar,coat
lower_body,shirt_pant,pant
lower_body,shirt_pant,trouser
lower_body,shirt_pant,shorts
lower_body,kurta_shalwar,pant
lower_body,kurta_shalwar,trouser
lower_body,kurta_shalwar,shorts
